31,Name,Part number,Drawing In Progress,File Sent  APPROVED!! (Ready To Manufacture),Link,Manufactured,Material,Mass,Vendor,Part Quantity,Order Quantity,Bought,Order Date,
92,Hex jam nut 1/4,90630A110,FALSE,FALSE,"High-Strength Steel Nylon-Insert Locknut, Grade 8, 1/4""-20 Thread Size | McMaster-Carr",FALSE,Stainless Steel,0.006 lb,,2,6,FALSE,,
102,Heavy hex jam nut 1/4-20,90630A110,FALSE,FALSE,"High-Strength Steel Nylon-Insert Locknut, Grade 8, 1/4""-20 Thread Size | McMaster-Carr",FALSE,Stainless Steel,0.01 lb,,4,Duplicate,FALSE,,
86,Modified - 6793K116_Steel Machinable-Bore Sprocket,6793K116,FALSE,FALSE,"Steel Machinable-Bore Sprocket, for ANSI 35 Chain, 9 Teeth, for 3/8"" Shaft Diameter | McMaster-Carr",FALSE,Carbon Steel,0.046 lb,,1,,FALSE,,
272,6498K443_Round Body Air Cylinder,6498K443,FALSE,FALSE,https://www.mcmaster.com/6498K443/,FALSE,Pnumatic Cylinder,0.15 lb,,1,,FALSE,,
164,6391K172_Oil-Embedded Bronze Sleeve Bearing,6391K172,FALSE,FALSE,"Oil-Embedded Bronze Sleeve Bearing, for 3/8"" Shaft Diameter and 1/2"" Housing ID, 3/8"" Long | McMaster-Carr",FALSE,Bronze - lead,0.01 lb,,6,,FALSE,,
87,6338K117_Oil-Embedded 841 Bronze Flanged Sleeve Bearing,6338K117,FALSE,FALSE,"Oil-Embedded 841 Bronze Flanged Sleeve Bearing, for 5/8"" Shaft and 3/4"" Housing ID, 3/4"" Long, 1/8"" Thick Flange | McMaster-Carr",FALSE,Bronze - lead,0.039 lb,,2,,FALSE,,
266,Bushing,6338K115,FALSE,FALSE,https://www.mcmaster.com/6338K115/,FALSE,Aluminum bronze (3-10% Al),0.03 lb,,2,10,FALSE,,
217,Bushing,6338K115,FALSE,FALSE,https://www.mcmaster.com/6338K115/,FALSE,Aluminum bronze (3-10% Al),0.026 lb,,4,Duplicate (4),FALSE,,
112,Bushing,6338K115,FALSE,FALSE,https://www.mcmaster.com/6338K115/,FALSE,Aluminum bronze (3-10% Al),0.033 lb,McMaster,4,Duplicate (4),FALSE,,
207,4ft. #35 chain,6261K172,FALSE,FALSE,https://www.mcmaster.com/6261K172/,FALSE,Roller Chain,0.204 lb,,1,5ft,FALSE,,
209,2ft. #35 chain,6261K172,FALSE,FALSE,https://www.mcmaster.com/6261K172/,FALSE,Roller Chain,0.344 lb,,1,Duplicate,FALSE,,
246,"1 1/16"" Bore 5/16"" ID 5/16-24 Thread Ball Rod End (60645K331)",60645K33,FALSE,FALSE,"Ball Joint Rod End, 5/16""-24 Thread | McMaster-Carr",FALSE,Steel,0.086 lb,,1,,FALSE,,
159,IGUS 9ft,4409T26,FALSE,FALSE,"Lay-in Snap-Together Open Cable/Hose Carrier, for 0.3"" Maximum Cable OD/1.3"" Total Cable Width | McMaster-Carr",FALSE,- None -,0 lb,,9ft,,FALSE,,
43,Bushing,2934T45,FALSE,FALSE,https://www.mcmaster.com/2934T45/,FALSE,Aluminum bronze (3-10% Al),0.043 lb,McMaster,2,Duplicate (2),FALSE,,
96,Bushing,2934T45,FALSE,FALSE,https://www.mcmaster.com/2934T45/,FALSE,Aluminum bronze (3-10% Al),0.043 lb,McMaster,2,Duplicate (0),FALSE,,
26,Manifold 4 Station 217-2952,217-2952,FALSE,FALSE,"Pneumatic Cylinders, Solenoids & Manifolds - VEX Robotics",FALSE,217-2952,0.372 lb,,1,,FALSE,,
57,Pigeon 2.0,21-737785,,FALSE,,FALSE,- None -,0.067 lb,CTR Electronics,1,,TRUE,,
56,CANivore,21-678682,,FALSE,,FALSE,- None -,0.072 lb,CTR Electronics,2,,TRUE,,
30,Rio Mount (Use 30 in Main to Find ),1538-25-P-9904,FALSE,FALSE,,FALSE,Acetal (Delrin),0.031 lb,,1,,FALSE,1/29/25,
275,Sponsor Panel (Use 275 in Main to Find ),1538-25-P-9903,FALSE,FALSE,,,Polycarbonate,0.107 lb,,1,,FALSE,1/29/25,
238,Sponsor Panel (Use 238 in Main to Find ),1538-25-P-9902,FALSE,FALSE,,FALSE,Polycarbonate,0.252 lb,,1,,FALSE,1/29/25,
198,"Spacer (Configurable) 1/2"" Hex 1.81""  (Use 198 in Main to Find )",1538-25-P-9901,FALSE,FALSE,,FALSE,3D Printed,0.001 lb,,1,,FALSE,1/29/25,
36,Battery Box Clip,1538-25-P-0806,FALSE,TRUE,,FALSE,Nylon ,0.001 lb,,1,,FALSE,,
35,Battery Box Connector Plate,1538-25-P-0805,FALSE,TRUE,,TRUE,Aluminum - 6061,0.112 lb,,1,,TRUE,,
34,Battery Box Tall Standoff,1538-25-P-0804,FALSE,TRUE,,FALSE,Aluminum - 6061,0.033 lb,,2,,FALSE,,
33,Battery Box Doubler Plate,1538-25-P-0803,FALSE,TRUE,,TRUE,Aluminum - 6061,0.352 lb,,1,,TRUE,,
32,Battery Box Standoff,1538-25-P-0802,FALSE,TRUE,,FALSE,Aluminum - 6061,0.024 lb,,4,,FALSE,,
31,Battery Box Base Plate,1538-25-P-0801,FALSE,FALSE,,FALSE,Polycarbonate,0.697 lb,,1,,FALSE,,
224,Roller Tube,1538-25-P-0713,FALSE,TRUE,https://cad.onshape.com/documents/8e45018a292911f5ece76cb7/w/d1d2445993623b475b0d8237/e/cf0c48580a5aacb8ba1ba3ab,FALSE,Polycarbonate,0.201 lb,,1,,FALSE,,
222,24T HTD Pulley 9.53mm Wide(WHERE PIECE????),1538-25-P-0712,FALSE,FALSE,,FALSE,3D Printed PLA,0.086 lb,,2,,FALSE,,
